Country Name,Country Code,Cost,Fruits,Vegetables,Starchy Staples,Animal-source Foods,Nuts,Oils and Fats,CS Fruits,CS Vegetables,CS Starchy Staples,CS Animal-sourced Foods,CS Nuts,CS Oils and Fats,Affordability,Percent cannot afford,Millions of people who cannot afford,GNI,Undernourishment,TagGNI,Vergleich
Albania,ALB,3.55,0.78,0.61,0.48,1.15,0.42,0.11,0.22,0.17,0.14,0.32,0.12,0.03,1.13,12.6,0.4,6150,4.3,16.84931506849315,21.069105691056908
Algeria,DZA,4.36,1.07,0.7,0.54,1.33,0.57,0.15,0.25,0.16,0.12,0.3,0.13,0.03,2.14,18.7,8.3,4120,2.5,11.287671232876711,38.626213592233015
Angola,AGO,4.0,0.73,0.43,1.12,1.12,0.41,0.2,0.18,0.11,0.28,0.28,0.1,0.05,1.96,71.7,24.7,1640,22.1,4.493150684931507,89.02439024390245
Armenia,ARM,3.66,0.88,0.58,0.57,1.0,0.39,0.24,0.24,0.16,0.16,0.27,0.11,0.07,1.16,54.1,1.5,4580,2.5,12.547945205479452,29.16812227074236
Australia,AUS,2.58,0.77,0.72,0.25,0.49,0.27,0.08,0.3,0.28,0.1,0.19,0.1,0.03,0.23,3.2,0.8,57180,2.5,156.65753424657535,1.6469045120671564
Austria,AUT,2.43,0.72,0.73,0.27,0.55,0.1,0.06,0.3,0.3,0.11,0.23,0.04,0.03,0.22,3.4,0.3,53220,2.5,145.8082191780822,1.6665727170236753
Azerbaijan,AZE,3.28,0.63,0.44,0.65,1.04,0.35,0.18,0.19,0.13,0.2,0.32,0.11,0.05,1.04,0.7,0.1,4910,2.5,13.452054794520548,24.382892057026474
Bangladesh,BGD,3.37,0.58,0.67,0.4,1.37,0.23,0.12,0.17,0.2,0.12,0.41,0.07,0.03,1.65,51.7,87.6,2600,11.8,7.123287671232877,47.309615384615384
Belarus,BLR,3.42,0.97,0.5,0.61,0.87,0.27,0.21,0.28,0.14,0.18,0.25,0.08,0.06,1.09,1.0,0.1,7040,2.5,19.28767123287671,17.73153409090909
Belgium,BEL,2.32,0.76,0.64,0.23,0.55,0.11,0.05,0.33,0.28,0.1,0.23,0.05,0.02,0.21,0.8,0.1,51210,2.5,140.3013698630137,1.6535832845147431
